id,title,description,availability,condition,price,sale_price,link,image_link,additional_image_link,brand,google_product_category,product_type,color,size,gender,material,sku,custom_number_1
3714,Ergo Pouch - Sleep Suit Bag 2.5 TOG - Rosado - 8-24M,"El premiado Sleep Suit Bag es un saco de dormir que a través de su cierre de 4 vías se transforma en traje con piernas. El traje de dormir es ideal para niños que se mueven y les gusta tener más libertad. Además, es muy práctico para cuando realizan el paso de cuna a cama, y permite una fácil transición desde un coche o silla de auto (se recomienda utilizar en silla de auto sólo hasta TOG 1). Su exterior es fabricado con un lujoso algodón orgánico de 400 hilos (envidiable, ¿no?), es extremadamente suave y amigable con la piel. Posee inserciones de algodón elasticado en los costados y sobre los hombros, ergonómicamente diseñados para que los niños se muevan libremente y no se enreden. Muchos padres optan por comenzar con el modo 'Saco de dormir', y una vez que su hijo comienza a caminar y/o se resiste en poner su saco de dormir, lo transforman a 'Traje de dormir' con piernas. En los pies posee antideslizantes para un caminar más estable al ir al baño (¡o la pieza de padres!). Su cierre de 4 vías recubierto protege la delicada piel de tu hijo y permite a los niños ir al baño o realizar una muda de forma cómoda y fácil. Su diseño ergonómico es aprobado por el Instituto Internacional de Displasia de Cadera como seguro para el desarrollo de la articulación de cadera. El Sleeping Suit Bag 2.5 TOG es perfecto para mantener a un niño abrigado durante la noche en habitaciones a 17-21 °C La clasificación TOG permite mantener a tu hijo abrigado y cómodo, sin la necesidad de mantas adicionales para dormir, lo que lo convierte en una opción segura para dormir. Los padres pueden estar tranquilos que las fibras naturales y orgánicas respirables ayudarán a regular la temperatura de su hijo y evitarán el sobrecalentamiento. Nuestros saquitos y trajes desde los 0 a 24 meses, incluyen un termómetro ambiental GRATIS que facilita el proceso de cómo vestir a los niños para dormir. Recomendamos combinar nuestro Sleeping Suit Bag con nuestros Pijamas Long Sleeve Layer, únicos en el mercado con clasificación TOG (se venden por separado). El Sleeping Suit Bag cumple con todos los estándares de seguridad en Australia y Nueva Zelanda, y es evaluado por la Asociación de Eczema Australasia como amigable para la piel de los niños. Fabricado con suave y elasticado algodón orgánico, sus fibras naturales respirables se tiñen con tintes a base de agua, por lo que son certificadas como no tóxicas y gentiles con la piel propensa a eczemas.",in stock,new,60990 CLP,,https://www.hereneo.cl/products/1428/sleep-suit-bag-2-5-tog-3,https://pfmutlcxjnmjlwhozaur.supabase.co/storage/v1/object/public/product-images/products/external/cdf7f5ec3664d40eb57fb01fa6c05e087b100e683f248188f1d1a587313daf79.webp,"https://pfmutlcxjnmjlwhozaur.supabase.co/storage/v1/object/public/product-images/products/external/ebb988cf97f1a8275b6888c02a085b424fa02d099302393e2fdb714595afdb9a.webp,https://pfmutlcxjnmjlwhozaur.supabase.co/storage/v1/object/public/product-images/products/external/ae6969f6b66eccdd633101c9af7342aea5930e0908d95499fd1dc9b93e55583b.webp,https://pfmutlcxjnmjlwhozaur.supabase.co/storage/v1/object/public/product-images/products/external/e8b2984df82bcdd28b5e7d19dbdbf5550849e183ea6a4cf5739d5906f6e6e69f.webp,https://pfmutlcxjnmjlwhozaur.supabase.co/storage/v1/object/public/product-images/products/external/fbf31e26bd44283106cf69c9907c57c5569062e1c3d8488c28e9f42189b5f842.webp",Ergo Pouch,,Saco,Rosado,8-24M,Unisex,"Interior, exterior y relleno: 100% Algodón OrganicoMangas y paneles laterales: 95% Algodón Organico / 5% Elastano",1428,2.5TOGSBPink Daisies
463,Gunguru - Blusa Sophie - Celeste - 8 años,"Blusa con estampado floral, cuello payaso y mangas abullonadas.",in stock,new,24900 CLP,22410 CLP,https://www.hereneo.cl/products/231/blusa-sophie,https://pfmutlcxjnmjlwhozaur.supabase.co/storage/v1/object/public/product-images/products/external/77278e7c721fd32d8c0b3b07fadee36802d7c1cd6ea46f116d6aac4ea2999392.jpg,"https://pfmutlcxjnmjlwhozaur.supabase.co/storage/v1/object/public/product-images/products/external/ded5964aa847cd1c3ebfc3957ae8edfc4d7262ce1c7901fa903a95b0867dd4c9.jpg,https://dojiw2m9tvv09.cloudfront.net/104811/product/X_fa64028c-30d4-4b2a-9c3d-8113eb4737d92467.jpeg?41&time=1751038116",Gunguru,,Blusa,Celeste,8 años,Nina,ALGODÓN,231,GGVS145Celeste
3868,Gunguru - Sweater Ethan - Verde - 8 años,Sweater en tejido de punto con detalles de ribeteado y botones de metal con escudo. Puños y dobladillo. Este diseño otorga elegancia para ocasiones especiales sin dejar de lado la comodidad y calidez para los pequeños.,in stock,new,34990 CLP,31491 CLP,https://www.hereneo.cl/products/1344/sweater-ethan,https://pfmutlcxjnmjlwhozaur.supabase.co/storage/v1/object/public/product-images/products/external/0399d990593e3c9a16f2ddcb9f13b1e77f02862da117daebb2deb14382a21dc7.webp,,Gunguru,,Chaleco,Verde,8 años,Nino,100% Algodón,1344,77221737193577Verde
3878,Gunguru - Blusa Victoria - Rosado - 6 años,"Blusa manga larga en estampado rosado con diseños de relieve blanco. Cuello peter pan y detalles de vuelos en los hombros. Puño con elástico forrado y detalle de vuelos. Broche de botones de frente. Este refinado diseño entrega elegancia y estilo a nuestros niñas, sin dejar de lado la comodidad y suavidad de nuestras prendas.",in stock,new,34990 CLP,31491 CLP,https://www.hereneo.cl/products/1356/blusa-victoria,https://pfmutlcxjnmjlwhozaur.supabase.co/storage/v1/object/public/product-images/products/external/69c165002e55ec884f134fa9dfcf3484481eca232e0757d206abebf4ba9933a2.webp,,Gunguru,,Blusa,Rosado,6 años,Nina,100% Algodón,1356,77082961421051Rosado
2639,Ergo Pouch - Cocoon Swaddle Bag 2.5 TOG - Beige - 3-6 Meses,"PREVENTA, ENTREGAR DESDE 25 DE FEBRERO
El Cocoon Swaddle Bag ofrece un descanso seguro y cómodo para tu bebé, imitando la contención del útero materno. Su diseño 2 en 1 permite una fácil transición de swaddle (brazos adentro) a saco de dormir (brazos afuera). Confeccionado en algodón orgánico certificado GOTS, suave y transpirable, favorece el desarrollo saludable y el sueño reparador. Aprobado por el Instituto Internacional de Displasia de Cadera, combina seguridad, ergonomía y estilo natural.",in stock,new,44990 CLP,40491 CLP,https://www.hereneo.cl/products/1012/cocoon-swaddle-bag-2-5-tog,https://ergopouch.cl/cdn/shop/files/Heritage23_Cocoon_1.0T_Oatmeal_2000x2000_54452b10-e094-43af-9bdd-b304588e727d_900x.jpg?v=1694890038,"https://ergopouch.cl/cdn/shop/files/Cocoon_1.0T_Oatmeal_Bassinet_ArmsOut_Angled_1_900x.jpg?v=1694890038,https://ergopouch.cl/cdn/shop/files/Cocoon_1.0T_Oatmeal_Bassinet_900x.jpg?v=1694890038",Ergo Pouch,,Saco,Beige,3-6 Meses,Unisex,Interior: 95% Algodón orgánico / 5% Elastano ,1012,2.5TOG Oatmeal Marie
3493,Gunguru - Vestido Kate - Azul - 8 Años,"Modelo de vestido de estilo rústico y elegante. Lleva cuello redondo, detalles de vuelos en los hombres y doble manga. Lleva bordado un broderie blanco con patrones geométricos en el pecho, ruedo y hombros. Detalle de pinzas. Broche de botones por detrás. 100% Algodón",in stock,new,38990 CLP,,https://www.hereneo.cl/products/1325/vestido-kate,https://pfmutlcxjnmjlwhozaur.supabase.co/storage/v1/object/public/product-images/products/external/b9b7bf3294aefc40a515f2093fdb2d00bac859c6394ea280a030cf3842cf7b5c.webp,"https://pfmutlcxjnmjlwhozaur.supabase.co/storage/v1/object/public/product-images/products/external/1225cd7246744ecf7f35329466cd8a0e710fcbcfdaf02f07cac39cec1ded6dc6.webp,https://pfmutlcxjnmjlwhozaur.supabase.co/storage/v1/object/public/product-images/products/external/aecac04eb35a3d3578ecfd6f1e34b5ed3ae7d4b504fc90df8ea76e2f4857ea6d.webp",Gunguru,,Vestido,Azul,8 Años,Nina,100% Algodón,1325,GG-VESTIDO-KATEAzul
3890,Gunguru - Sweater Noah - Azul - 6 años,"Sweater en tejido de punto con patrones geométricos en el pecho y brazos. Este modelo otorga calidez, comodidad y abrigo a nuestros niños. Tiene un diseño de cuello redondo, puños y dobladillo. Talla 9-12 meses: el tono es un beige más claro que el resto de las tallas. Materiales: 40% Algodón 60% Poliéster",in stock,new,31990 CLP,28791 CLP,https://www.hereneo.cl/products/1354/sweater-noah,https://pfmutlcxjnmjlwhozaur.supabase.co/storage/v1/object/public/product-images/products/external/e9093ab7231a6427b696eb0c03bfe4e49add68368d18877f69014c284e0e94ed.webp,,Gunguru,,Chaleco,Azul,6 años,Baby,"Tejido 40% Algodón 60% Poliéster, tela 100% Algodón",1354,GG-SWEATER-NOAHAzul
3917,Gunguru - Chaquetón Caleb Azul - Azul - 8 años,Abrigo en tejido de punto con cuello piqué y bolsillos por delante. Broche con botones de metal y detalle de escudo. Este diseño va a acompañar a tu pequeño en los días más frescos dándole comodidad y calidez sin dejar de lado la elegancia.,in stock,new,42500 CLP,38250 CLP,https://www.hereneo.cl/products/1331/chaqueton-caleb-azul,https://pfmutlcxjnmjlwhozaur.supabase.co/storage/v1/object/public/product-images/products/external/def099c0f7e95a606aae2e7273db52e095847307573e6550dd6680d4ef143ac5.webp,,Gunguru,,Chaqueta,Azul,8 años,Nino,100% Algodón,1331,771869Azul
3911,Gunguru - Vestido Victoria - Azul - 4 años,"Vestido con tejido de punto. Cuello payaso. Tela estampada en escocés azul. Este diseño otorga calidez y elegancia para las más pequeñas. Tejido 40% Algodón 60% Poliéster, tela 100% Algodón",in stock,new,35990 CLP,32391 CLP,https://www.hereneo.cl/products/1333/vestido-victoria,https://pfmutlcxjnmjlwhozaur.supabase.co/storage/v1/object/public/product-images/products/external/b1a668a09390cf6cff6fdafb920272f705d23cc3d43d488fba8e5cb11f107b6a.webp,"https://pfmutlcxjnmjlwhozaur.supabase.co/storage/v1/object/public/product-images/products/external/26ce7d0abc5ca799f94ff6e839f5f21e856a7e2a08a86aa416ead550246676a9.webp,https://pfmutlcxjnmjlwhozaur.supabase.co/storage/v1/object/public/product-images/products/external/ce6f1bd95a23baa8c8afdc87f3c20e9b69c9b47d591aabe7452133e56605eb96.webp",Gunguru,,Vestido,Azul,4 años,Nina,"Tejido 40% Algodón 60% Poliéster, tela 100% Algodón",1333,GG-VESTIDO-VICTORIAzul
452,Gunguru - Blusa Kenia - Beige - 7 - 8 años,"Blusa beige de género plumeti, cuello peter pan con encaje y puños elásticos.",in stock,new,15990 CLP,14391 CLP,https://www.hereneo.cl/products/228/blusa-kenia,https://pfmutlcxjnmjlwhozaur.supabase.co/storage/v1/object/public/product-images/products/external/e7a0ac0a1204be967f958f96d5e548fdff0f1d81157acda43421c51c2a989757.jpg,https://dojiw2m9tvv09.cloudfront.net/104811/product/X_img-02737195.jpeg?41&time=1751037106,Gunguru,,Blusa,Beige,7 - 8 años,Nina,ALGODÓN,228,GGBK143beige
