id,title,description,availability,condition,price,sale_price,link,image_link,additional_image_link,brand,google_product_category,product_type,color,size,gender,material,sku,custom_number_1
5725,Traslado a El Colorado desde Santiago,Traslado a El Colorado desde Santiago,in stock,new,35500 CLP,,https://www.tur.com/es/santiago/traslado-ski-day-el-colorado-santiago,https://d6myp1633h7qr.cloudfront.net/products/8e88e37c-680d-43ac-bbab-0fdfe751b299.webp,,Tur,,Santiago,,,,,5725,acaa503f-b466-47a1-a5ba-1665a43903d2
5724,Excursión al Parque Jaime Duque desde Bogotá con Entrada,Excursión al Parque Jaime Duque desde Bogotá con Entrada,in stock,new,100909 CLP,,https://www.tur.com/es/bogota/excursion-parque-jaime-duque-desde-bogota,https://d6myp1633h7qr.cloudfront.net/products/fe4061ce-412f-45b0-99db-f8d66786e6af.webp,,Tur,,Bogotá,,,,,5724,63e32d6b-cb8e-4af0-b4b2-b64fb76e402d
5722,Paseo de Veleiro al Atardecer por la Bahía de Guanabara en Río de Janeiro,Paseo de Veleiro al Atardecer por la Bahía de Guanabara en Río de Janeiro,in stock,new,53822 CLP,,https://www.tur.com/es/rio-de-janeiro/paseo-veleiro-atardecer-rio-de-janeiro,https://d6myp1633h7qr.cloudfront.net/products/02411f22-e4a4-41dd-ad7c-5f18d9935fe5.webp,,Tur,,Río de Janeiro,,,,,5722,470ba4ec-2e7f-46aa-9114-4181365796f1
5721,Paseo en velero por la bahía de Guanabara en Río de Janeiro,Paseo en velero por la bahía de Guanabara en Río de Janeiro,in stock,new,46398 CLP,,https://www.tur.com/es/rio-de-janeiro/paseo-velero-rio-de-janeiro-bahia-guanabara,https://d6myp1633h7qr.cloudfront.net/products/a5de4991-8787-4bd0-b28f-3239540a7a7a.webp,,Tur,,Río de Janeiro,,,,,5721,dd20765f-ebb3-4b06-9f9f-1018dbcb2ec9
5720,Entrada a Termales de Santa Rosa de Cabal,Entrada a Termales de Santa Rosa de Cabal,in stock,new,208016 CLP,,https://www.tur.com/es/pereira/entrada-termales-santa-rosa-de-cabal,https://d6myp1633h7qr.cloudfront.net/products/0ec1272d-d829-4476-8e74-b2ca8d29fd4c.webp,,Tur,,Pereira,,,,,5720,a736b273-6638-4245-9b70-128e1373b4b9
5719,Taller Privado de Grafitis en Bogotá en La Macarena,Taller Privado de Grafitis en Bogotá en La Macarena,in stock,new,220504 CLP,,https://www.tur.com/es/bogota/taller-privado-grafitis-bogota-la-macarena,https://d6myp1633h7qr.cloudfront.net/products/1045f09f-4858-4ae7-80fb-84a5edfab05a.webp,,Tur,,Bogotá,,,,,5719,67e9aac4-3f57-4032-a0ed-2a6e40380d3e
5718,Cañonismo en la Cueva El Chorreadero,Cañonismo en la Cueva El Chorreadero,in stock,new,108565 CLP,,https://www.tur.com/es/chiapas/canonismo-cueva-el-chorreadero-chiapas,https://d6myp1633h7qr.cloudfront.net/products/2e048244-65b6-440a-bd1d-36b1614f5670.webp,,Tur,,Chiapas,,,,,5718,cdd5c1f0-1123-4be0-86da-c634d4f03336
5716,Tour Laguna de Catazajá Santuario del Manatí,Tour Laguna de Catazajá Santuario del Manatí,in stock,new,98695 CLP,,https://www.tur.com/es/palenque/tour-laguna-catazaja-santuario-del-manati,https://d6myp1633h7qr.cloudfront.net/products/2d12ccff-c779-4569-a866-0e79b9f7f8c1.webp,,Tur,,Palenque,,,,,5716,0b4ce8a1-2e0c-4b74-8425-3479e0811867
5715,Cena peruana con música y danzas andinas en Cusco,Cena peruana con música y danzas andinas en Cusco,in stock,new,35711 CLP,,https://www.tur.com/es/cusco/cena-peruana-espectaculo-andino-cusco,https://d6myp1633h7qr.cloudfront.net/products/467e4681-6198-467d-b744-a3b21972e3d4.webp,,Tur,,Cusco,,,,,5715,169cf54b-8320-4700-bf90-47dc90201a0d
5713,Kayak en la Selva Lacandona por el Río Lacantún,Kayak en la Selva Lacandona por el Río Lacantún,in stock,new,92115 CLP,,https://www.tur.com/es/chiapas/kayak-selva-lacandona-rio-lacantun,https://d6myp1633h7qr.cloudfront.net/products/485e96bb-6780-4c1d-a00b-d6b0e3a10cdf.webp,,Tur,,Chiapas,,,,,5713,98588bc6-c94e-4b1f-b889-4379b30b5b1b
